Date,Close
2015-01-02 00:00:00-05:00,169.68788146972656
2015-01-05 00:00:00-05:00,166.62335205078125
2015-01-06 00:00:00-05:00,165.05384826660156
2015-01-07 00:00:00-05:00,167.1106719970703
2015-01-08 00:00:00-05:00,170.07608032226562
2015-01-09 00:00:00-05:00,168.71310424804688
2015-01-12 00:00:00-05:00,167.39154052734375
2015-01-13 00:00:00-05:00,166.92066955566406
2015-01-14 00:00:00-05:00,165.91294860839844
2015-01-15 00:00:00-05:00,164.39309692382812
2015-01-16 00:00:00-05:00,166.5489501953125
2015-01-20 00:00:00-05:00,166.9041748046875
2015-01-21 00:00:00-05:00,167.7467041015625
2015-01-22 00:00:00-05:00,170.24127197265625
2015-01-23 00:00:00-05:00,169.30792236328125
2015-01-26 00:00:00-05:00,169.70440673828125
2015-01-27 00:00:00-05:00,167.4658203125
2015-01-28 00:00:00-05:00,165.3182373046875
2015-01-29 00:00:00-05:00,166.8463592529297
2015-01-30 00:00:00-05:00,164.74827575683594
2015-02-02 00:00:00-05:00,166.78855895996094
2015-02-03 00:00:00-05:00,169.20045471191406
2015-02-04 00:00:00-05:00,168.5562286376953
2015-02-05 00:00:00-05:00,170.25775146484375
2015-02-06 00:00:00-05:00,169.78692626953125
2015-02-09 00:00:00-05:00,169.02700805664062
2015-02-10 00:00:00-05:00,170.82778930664062
2015-02-11 00:00:00-05:00,170.92684936523438
2015-02-12 00:00:00-05:00,172.5706329345703
2015-02-13 00:00:00-05:00,173.28099060058594
2015-02-17 00:00:00-05:00,173.55357360839844
2015-02-18 00:00:00-05:00,173.5701141357422
2015-02-19 00:00:00-05:00,173.4462127685547
2015-02-20 00:00:00-05:00,174.4870147705078
2015-02-23 00:00:00-05:00,174.46221923828125
2015-02-24 00:00:00-05:00,174.95782470703125
2015-02-25 00:00:00-05:00,174.80911254882812
2015-02-26 00:00:00-05:00,174.60263061523438
2015-02-27 00:00:00-05:00,174.00787353515625
2015-03-02 00:00:00-05:00,175.10647583007812
2015-03-03 00:00:00-05:00,174.38787841796875
2015-03-04 00:00:00-05:00,173.6526641845703
2015-03-05 00:00:00-05:00,173.84268188476562
2015-03-06 00:00:00-05:00,171.397705078125
2015-03-09 00:00:00-04:00,172.1080780029297
2015-03-10 00:00:00-04:00,169.31614685058594
2015-03-11 00:00:00-04:00,168.91964721679688
2015-03-12 00:00:00-04:00,171.06729125976562
2015-03-13 00:00:00-04:00,170.01829528808594
2015-03-16 00:00:00-04:00,172.2898406982422
2015-03-17 00:00:00-04:00,171.77767944335938
2015-03-18 00:00:00-04:00,173.84268188476562
2015-03-19 00:00:00-04:00,173.0497283935547
2015-03-20 00:00:00-04:00,174.5772247314453
2015-03-23 00:00:00-04:00,174.23699951171875
2015-03-24 00:00:00-04:00,173.2579803466797
2015-03-25 00:00:00-04:00,170.71905517578125
2015-03-26 00:00:00-04:00,170.3125762939453
2015-03-27 00:00:00-04:00,170.70249938964844
2015-03-30 00:00:00-04:00,172.78504943847656
2015-03-31 00:00:00-04:00,171.27500915527344
2015-04-01 00:00:00-04:00,170.66929626464844
2015-04-02 00:00:00-04:00,171.2832794189453
2015-04-06 00:00:00-04:00,172.4365692138672
2015-04-07 00:00:00-04:00,171.98025512695312
2015-04-08 00:00:00-04:00,172.56101989746094
2015-04-09 00:00:00-04:00,173.32435607910156
2015-04-10 00:00:00-04:00,174.27023315429688
2015-04-13 00:00:00-04:00,173.48194885253906
2015-04-14 00:00:00-04:00,173.81390380859375
2015-04-15 00:00:00-04:00,174.59378051757812
2015-04-16 00:00:00-04:00,174.54400634765625
2015-04-17 00:00:00-04:00,172.5361328125
2015-04-20 00:00:00-04:00,174.1125946044922
2015-04-21 00:00:00-04:00,173.90516662597656
2015-04-22 00:00:00-04:00,174.75979614257812
2015-04-23 00:00:00-04:00,175.19949340820312
2015-04-24 00:00:00-04:00,175.60606384277344
2015-04-27 00:00:00-04:00,174.8759307861328
2015-04-28 00:00:00-04:00,175.43177795410156
2015-04-29 00:00:00-04:00,174.7099609375
2015-04-30 00:00:00-04:00,172.95925903320312
2015-05-01 00:00:00-04:00,174.83445739746094
2015-05-04 00:00:00-04:00,175.3321990966797
2015-05-05 00:00:00-04:00,173.32435607910156
2015-05-06 00:00:00-04:00,172.61082458496094
2015-05-07 00:00:00-04:00,173.29949951171875
2015-05-08 00:00:00-04:00,175.5811767578125
2015-05-11 00:00:00-04:00,174.7431182861328
2015-05-12 00:00:00-04:00,174.22044372558594
2015-05-13 00:00:00-04:00,174.25363159179688
2015-05-14 00:00:00-04:00,176.0706787109375
