optimizer_name,lr,seed,diverged,steps_completed,best_val_loss,final_val_loss,mean_grad_norm,wall_clock_seconds
adamw,9.487e-05,0,False,500,2.050987792015076,2.050987792015076,0.21434642496705056,8.628396987915039
adamw,9.487e-05,1,False,500,2.0467551231384276,2.052123248577118,0.2171411022543907,8.771603345870972
adamw,9.487e-05,2,False,500,2.052888584136963,2.052888584136963,0.21581056144833566,7.441517114639282
adamw,0.0002276,0,False,500,2.0529444456100463,2.05822035074234,0.22616661465168,7.588551759719849
adamw,0.0002276,1,False,500,2.0476025223731993,2.0571120500564577,0.22586383655667305,7.5234246253967285
adamw,0.0002276,2,False,500,2.0548189520835876,2.0602397203445433,0.22473104247450829,7.69040322303772
adamw,0.0005335,0,False,500,2.055365872383118,2.073397696018219,0.24674072140455247,7.420507192611694
adamw,0.0005335,1,False,500,2.048917293548584,2.069259321689606,0.2434668402671814,7.518855810165405
adamw,0.0005335,2,False,500,2.0517866730690004,2.0717270255088804,0.24449493497610092,7.85089373588562
adamw,0.001265,0,False,500,2.061411809921265,2.162600302696228,0.25934035181999204,7.981143236160278
adamw,0.001265,1,False,500,2.055015242099762,2.121271514892578,0.260143441259861,7.266444206237793
adamw,0.001265,2,False,500,2.0542465090751647,2.137890136241913,0.2743827976584435,7.315053939819336
adamw,0.003,0,False,500,2.0620825052261353,2.65491840839386,0.30814059215784073,7.302796125411987
adamw,0.003,1,False,500,2.056204044818878,2.8043342232704163,0.3149044796824455,7.386571645736694
adamw,0.003,2,False,500,2.0559607982635497,2.8064298272132873,0.3352706556916237,7.2578957080841064
adamw,0.007114,0,False,500,2.0567804098129274,2.1016989827156065,0.27575346718728544,7.262334585189819
adamw,0.007114,1,False,500,2.0558788418769836,2.2871276259422304,0.2506438507288694,7.397243976593018
adamw,0.007114,2,False,500,2.051736927032471,2.137276518344879,0.290922021150589,9.06509780883789
adamw,0.01687,0,False,500,2.0532994508743285,2.0532994508743285,0.21136989767104386,8.18626856803894
adamw,0.01687,1,False,500,2.0480619072914124,2.05561341047287,0.2566399523578584,7.892916440963745
adamw,0.01687,2,False,500,2.059191608428955,2.0603824973106386,0.2476136706843972,10.221730470657349
adamw,0.04,0,False,500,2.0635446071624757,2.0635446071624757,0.2625663047656417,8.533937931060791
adamw,0.04,1,False,500,2.0568881034851074,2.0632882714271545,0.2705575956441462,7.960143804550171
adamw,0.04,2,False,500,2.064420831203461,2.064420831203461,0.2713398197032511,7.696050643920898
adamw,0.09487,0,False,500,2.063330352306366,2.063330352306366,0.25767307183519006,7.634930849075317
