optimizer_name,lr,seed,diverged,steps_completed,best_val_loss,final_val_loss,mean_grad_norm,wall_clock_seconds
nero,0.0009487,0,False,500,2.5758495211601256,2.5758495211601256,0.8342355374097824,20.086175680160522
nero,0.0009487,1,False,500,2.5803476095199587,2.5803476095199587,0.9064195392131805,19.324605703353882
nero,0.0009487,2,False,500,2.598615527153015,2.598615527153015,0.8484406254887581,19.46770429611206
nero,0.002276,0,False,500,2.500333571434021,2.500333571434021,0.8995823370814323,18.988603830337524
nero,0.002276,1,False,500,2.485896909236908,2.485896909236908,0.9142153115868569,20.007447957992554
nero,0.002276,2,False,500,2.512800908088684,2.512800908088684,0.8412523600459099,19.128207445144653
nero,0.005335,0,False,500,2.3701396942138673,2.3701396942138673,0.814901039659977,19.11690878868103
nero,0.005335,1,False,500,2.412099635601044,2.412099635601044,0.8472320101857186,19.226120471954346
nero,0.005335,2,False,500,2.4437302350997925,2.4437302350997925,0.7764599773287774,19.171488761901855
nero,0.01265,0,False,500,2.0778988718986513,2.0778988718986513,0.7736628116965294,18.83161973953247
nero,0.01265,1,False,500,2.136642861366272,2.136642861366272,0.777660105407238,19.31403636932373
nero,0.01265,2,False,500,2.157059335708618,2.157059335708618,0.7544817109107971,19.419103860855103
nero,0.03,0,False,500,2.0791008830070496,2.0791008830070496,0.7357173424959182,19.36884355545044
nero,0.03,1,False,500,2.077486538887024,2.077486538887024,0.718923297226429,19.325894355773926
nero,0.03,2,False,500,2.0746750593185426,2.0746750593185426,0.6895040612220764,17.81181311607361
nero,0.07114,0,False,500,2.532675564289093,2.8074989676475526,0.8826826168894768,14.763309717178345
nero,0.07114,1,False,500,2.4693892121315004,2.4693892121315004,0.7219900794625282,14.614601373672485
nero,0.07114,2,False,500,2.495758926868439,2.898629140853882,0.932732573390007,15.090098857879639
nero,0.1687,0,False,500,2.7113852500915527,3.316249692440033,1.6077228968143462,15.001340627670288
nero,0.1687,1,False,500,2.644527316093445,2.644527316093445,1.0917958126664162,15.030381202697754
nero,0.1687,2,False,500,2.6463579297065736,2.6530166983604433,0.9388967353701592,15.013237953186035
nero,0.4,0,False,500,2.8049126863479614,2.8049126863479614,1.9901852331161498,15.123049259185791
nero,0.4,1,False,500,2.8309821248054505,5.0611851692199705,5.115704410076141,14.840900897979736
nero,0.4,2,False,500,2.918399894237518,6.737458896636963,3.839960549235344,14.866254329681396
nero,0.9487,0,False,500,5.928722906112671,8.209523057937622,16.381649309158327,15.131327867507935
nero,0.9487,1,False,500,6.29062340259552,8.078310561180114,17.471996871709823,14.816060066223145
nero,0.9487,2,False,500,4.916769552230835,6.543653917312622,15.755915158033371,14.882233381271362
