optimizer,condition,lr,step,val_loss
adamw,flat_500,0.007114,25,2.552936542034149
adamw,flat_500,0.007114,50,2.4851524114608763
adamw,flat_500,0.007114,75,2.4190217733383177
adamw,flat_500,0.007114,100,2.325179898738861
adamw,flat_500,0.007114,125,2.202296221256256
adamw,flat_500,0.007114,150,2.1416901469230654
adamw,flat_500,0.007114,175,2.067185711860657
adamw,flat_500,0.007114,200,2.017193615436554
adamw,flat_500,0.007114,225,1.97142795920372
adamw,flat_500,0.007114,250,1.9176815509796143
adamw,flat_500,0.007114,275,1.8556587755680085
adamw,flat_500,0.007114,300,1.8318784058094024
adamw,flat_500,0.007114,325,1.8220983505249024
adamw,flat_500,0.007114,350,1.8012112438678742
adamw,flat_500,0.007114,375,1.7412924885749816
adamw,flat_500,0.007114,400,1.7512919902801514
adamw,flat_500,0.007114,425,1.7325271785259246
adamw,flat_500,0.007114,450,1.7431898891925812
adamw,flat_500,0.007114,475,1.7209342658519744
adamw,flat_500,0.007114,500,1.6861445009708405
adamw,schedule_500,0.007114,25,2.678270363807678
adamw,schedule_500,0.007114,50,2.531288707256317
adamw,schedule_500,0.007114,75,2.438195586204529
adamw,schedule_500,0.007114,100,2.312981200218201
adamw,schedule_500,0.007114,125,2.1954545736312867
adamw,schedule_500,0.007114,150,2.119379258155823
adamw,schedule_500,0.007114,175,2.051216834783554
adamw,schedule_500,0.007114,200,1.9955751180648804
adamw,schedule_500,0.007114,225,1.9399750113487244
adamw,schedule_500,0.007114,250,1.8871076166629792
adamw,schedule_500,0.007114,275,1.8372102320194243
adamw,schedule_500,0.007114,300,1.8073193311691285
adamw,schedule_500,0.007114,325,1.7901030898094177
adamw,schedule_500,0.007114,350,1.7679756999015808
adamw,schedule_500,0.007114,375,1.7251215994358062
adamw,schedule_500,0.007114,400,1.7164278626441956
adamw,schedule_500,0.007114,425,1.710943740606308
adamw,schedule_500,0.007114,450,1.6985915422439575
adamw,schedule_500,0.007114,475,1.6912118077278138
adamw,schedule_500,0.007114,500,1.6745520293712617
adamw,hero_3000,0.003,150,2.496314191818237
adamw,hero_3000,0.003,300,2.2762264013290405
adamw,hero_3000,0.003,450,2.0113564670085906
adamw,hero_3000,0.003,600,1.8348319232463837
adamw,hero_3000,0.003,750,1.7490824341773987
adamw,hero_3000,0.003,900,1.6681569874286652
adamw,hero_3000,0.003,1050,1.6512876152992249
adamw,hero_3000,0.003,1200,1.6221537947654725
adamw,hero_3000,0.003,1350,1.5874566435813904
adamw,hero_3000,0.003,1500,1.5561601758003234
adamw,hero_3000,0.003,1650,1.5768121540546418
adamw,hero_3000,0.003,1800,1.5447771072387695
adamw,hero_3000,0.003,1950,1.5357327878475189
adamw,hero_3000,0.003,2100,1.5176705360412597
adamw,hero_3000,0.003,2250,1.5262595534324646
adamw,hero_3000,0.003,2400,1.5051428377628326
adamw,hero_3000,0.003,2550,1.513606196641922
adamw,hero_3000,0.003,2700,1.50840882062912
adamw,hero_3000,0.003,2850,1.516851431131363
adamw,hero_3000,0.003,3000,1.5385523855686187
sgd,flat_500,0.3,25,2.6861082315444946
sgd,flat_500,0.3,50,2.5634288430213927
sgd,flat_500,0.3,75,2.5218294978141786
sgd,flat_500,0.3,100,2.512395465373993
sgd,flat_500,0.3,125,2.4975661396980287
sgd,flat_500,0.3,150,2.492193865776062
sgd,flat_500,0.3,175,2.4774096250534057
sgd,flat_500,0.3,200,2.4691638469696047
sgd,flat_500,0.3,225,2.4510191679000854
sgd,flat_500,0.3,250,2.4472364664077757
sgd,flat_500,0.3,275,2.426993250846863
sgd,flat_500,0.3,300,2.4006136417388917
sgd,flat_500,0.3,325,2.394606292247772
sgd,flat_500,0.3,350,2.358329486846924
sgd,flat_500,0.3,375,2.312782573699951
sgd,flat_500,0.3,400,2.2778698205947876
sgd,flat_500,0.3,425,2.2381696462631226
sgd,flat_500,0.3,450,2.2200107336044312
sgd,flat_500,0.3,475,2.1758190274238585
sgd,flat_500,0.3,500,2.1533257126808167
sgd,schedule_500,0.7114,25,3.091731882095337
sgd,schedule_500,0.7114,50,2.575607717037201
sgd,schedule_500,0.7114,75,2.509618651866913
sgd,schedule_500,0.7114,100,2.503418171405792
sgd,schedule_500,0.7114,125,2.47841956615448
sgd,schedule_500,0.7114,150,2.4678763508796693
sgd,schedule_500,0.7114,175,2.4476800680160524
sgd,schedule_500,0.7114,200,2.4136761903762816
sgd,schedule_500,0.7114,225,2.365741527080536
sgd,schedule_500,0.7114,250,2.3209524273872377
sgd,schedule_500,0.7114,275,2.248810052871704
sgd,schedule_500,0.7114,300,2.2041889786720277
sgd,schedule_500,0.7114,325,2.1861084580421446
sgd,schedule_500,0.7114,350,2.164944291114807
sgd,schedule_500,0.7114,375,2.135696494579315
sgd,schedule_500,0.7114,400,2.1283633947372436
sgd,schedule_500,0.7114,425,2.121537816524506
sgd,schedule_500,0.7114,450,2.113858199119568
sgd,schedule_500,0.7114,475,2.1036073088645937
sgd,schedule_500,0.7114,500,2.0904062032699584
sgd,hero_3000,1.687,150,2.5433133363723757
sgd,hero_3000,1.687,300,2.301326632499695
sgd,hero_3000,1.687,450,1.983831650018692
sgd,hero_3000,1.687,600,1.8198288202285766
sgd,hero_3000,1.687,750,1.7382017016410827
sgd,hero_3000,1.687,900,1.663318830728531
sgd,hero_3000,1.687,1050,1.6517593443393708
sgd,hero_3000,1.687,1200,1.6308999955654144
sgd,hero_3000,1.687,1350,1.5955655217170714
sgd,hero_3000,1.687,1500,1.565770649909973
sgd,hero_3000,1.687,1650,1.57530620098114
sgd,hero_3000,1.687,1800,1.5599795222282409
sgd,hero_3000,1.687,1950,1.5513648211956024
sgd,hero_3000,1.687,2100,1.5341749131679534
sgd,hero_3000,1.687,2250,1.548000019788742
sgd,hero_3000,1.687,2400,1.5287168383598329
sgd,hero_3000,1.687,2550,1.5423881769180299
sgd,hero_3000,1.687,2700,1.5265069127082824
sgd,hero_3000,1.687,2850,1.5461453378200531
sgd,hero_3000,1.687,3000,1.5648972392082214
nero,flat_500,0.03,25,2.991878604888916
nero,flat_500,0.03,50,2.692693066596985
nero,flat_500,0.03,75,2.6054856896400453
nero,flat_500,0.03,100,2.5818472623825075
nero,flat_500,0.03,125,2.538455069065094
nero,flat_500,0.03,150,2.584302341938019
nero,flat_500,0.03,175,2.5192592263221742
nero,flat_500,0.03,200,2.5367486834526063
nero,flat_500,0.03,225,2.489765393733978
nero,flat_500,0.03,250,2.4109363317489625
nero,flat_500,0.03,275,2.299972105026245
nero,flat_500,0.03,300,2.286643373966217
nero,flat_500,0.03,325,2.2099600434303284
nero,flat_500,0.03,350,2.2091304063796997
nero,flat_500,0.03,375,2.1674954891204834
nero,flat_500,0.03,400,2.125325310230255
nero,flat_500,0.03,425,2.1335923433303834
nero,flat_500,0.03,450,2.098428785800934
nero,flat_500,0.03,475,2.075978899002075
nero,flat_500,0.03,500,2.023423933982849
nero,schedule_500,0.07114,25,3.5061102986335753
nero,schedule_500,0.07114,50,2.762584936618805
nero,schedule_500,0.07114,75,2.631040167808533
nero,schedule_500,0.07114,100,2.5983351826667787
nero,schedule_500,0.07114,125,2.561395525932312
nero,schedule_500,0.07114,150,2.5362516403198243
nero,schedule_500,0.07114,175,2.521432650089264
nero,schedule_500,0.07114,200,2.5018380999565126
nero,schedule_500,0.07114,225,2.3314507007598877
nero,schedule_500,0.07114,250,2.2786574959754944
nero,schedule_500,0.07114,275,2.2341749548912047
nero,schedule_500,0.07114,300,2.1738409638404845
