optimizer_name,lr,seed,diverged,steps_completed,best_val_loss,final_val_loss,mean_grad_norm,wall_clock_seconds
modula,0.0006325,0,False,500,2.4675803542137147,2.4675803542137147,0.2638277788758278,15.7141592502594
modula,0.0006325,1,False,500,2.470287251472473,2.470287251472473,0.2593115749061108,15.543843507766724
modula,0.0006325,2,False,500,2.47201589345932,2.4778856515884398,0.2632653979361057,15.477495670318604
modula,0.001517,0,False,500,2.435610818862915,2.435610818862915,0.2907935276925564,15.637924671173096
modula,0.001517,1,False,500,2.4387513399124146,2.4387513399124146,0.28422274258732794,18.358026266098022
modula,0.001517,2,False,500,2.4496171951293944,2.4496171951293944,0.2914638105928898,19.015158653259277
modula,0.003557,0,False,500,2.3212000370025634,2.3212000370025634,0.33435749757289884,19.06963300704956
modula,0.003557,1,False,500,2.3305572032928468,2.3305572032928468,0.32543560171127317,19.123639583587646
modula,0.003557,2,False,500,2.3557652950286867,2.3557652950286867,0.3407654258608818,19.150800228118896
modula,0.008434,0,False,500,2.0993323802947996,2.0993323802947996,0.39315300253033636,19.129421710968018
modula,0.008434,1,False,500,2.1031256437301638,2.1031256437301638,0.3794088254570961,19.113526105880737
modula,0.008434,2,False,500,2.0964666962623597,2.0964666962623597,0.3905371024608612,19.250368118286133
modula,0.02,0,False,500,1.8656081855297089,1.8656081855297089,0.38914807426929476,18.995854377746582
modula,0.02,1,False,500,1.8775004982948302,1.8775004982948302,0.37700953444838525,19.36655592918396
modula,0.02,2,False,500,1.9102924406528472,1.9102924406528472,0.38492149633169176,19.11317253112793
modula,0.04743,0,False,500,1.7713629186153412,1.7713629186153412,0.3308309208750725,19.262057542800903
modula,0.04743,1,False,500,1.8021837770938873,1.8021837770938873,0.3274631544649601,15.875755548477173
modula,0.04743,2,False,500,1.813525414466858,1.813525414466858,0.3232250606417656,16.286087036132812
modula,0.1125,0,False,500,1.9571352660655976,1.9571352660655976,0.29628399926424026,15.89793872833252
modula,0.1125,1,False,500,1.9371923863887788,1.9371923863887788,0.29783643552660943,15.487152338027954
modula,0.1125,2,False,500,1.9777600347995759,1.9777600347995759,0.3039547011554241,15.228366613388062
modula,0.2667,0,False,500,2.633227729797363,2.6991092920303346,0.6179028574824333,15.086181879043579
modula,0.2667,1,False,500,2.532555627822876,2.534542107582092,0.3734275508224964,15.363430738449097
modula,0.2667,2,False,500,2.5487351059913634,2.6058098435401917,0.4444344984292984,15.431419849395752
modula,0.6325,0,False,500,2.950362515449524,2.950362515449524,0.9590392622351647,15.448257446289062
modula,0.6325,1,False,500,2.862697982788086,2.877658760547638,1.0089616513550281,15.305339574813843
modula,0.6325,2,False,500,2.9112221717834474,2.9112221717834474,1.100041359692812,15.218390464782715
