optimizer_name,lr,seed,diverged,steps_completed,best_val_loss,final_val_loss,mean_grad_norm,wall_clock_seconds
adamw,9.487e-05,0,False,3000,2.28440842628479,2.28440842628479,0.33374760805567105,48.347339153289795
adamw,0.0002276,0,False,3000,2.0107805907726286,2.0107805907726286,0.46871241376797357,46.03858470916748
adamw,0.0005335,0,False,3000,1.7712649524211883,1.7712649524211883,0.5333440794050693,45.829652070999146
adamw,0.001265,0,False,3000,1.5670346081256867,1.5698362827301025,0.4245869447638591,45.86885333061218
adamw,0.003,0,False,3000,1.525638645887375,1.5466981172561645,0.3069473363906145,45.659873247146606
adamw,0.007114,0,False,3000,1.5215804755687714,1.5761796414852143,0.2117166328430176,46.024704933166504
adamw,0.01687,0,False,3000,1.5419004738330842,1.631764966249466,0.18655281085024278,45.64176392555237
adamw,0.04,0,False,3000,1.577938312292099,1.5946858942508697,0.21211381655186415,45.326361417770386
adamw,0.09487,0,False,3000,2.055547833442688,2.3906546115875242,0.5424153944874803,45.344518184661865
muon,0.0006325,0,False,3000,1.7496811985969543,1.7496811985969543,0.6142885450621446,135.7864170074463
muon,0.001517,0,False,3000,1.5825290143489839,1.5845009624958037,0.6732636648466189,137.3828465938568
muon,0.003557,0,False,3000,1.541164791584015,1.5746694505214691,0.5432568599830071,138.3121373653412
muon,0.008434,0,False,3000,1.539739441871643,1.6100438237190247,0.36786565149823824,132.2889688014984
muon,0.02,0,False,3000,1.534970510005951,1.6170767486095428,0.2582404132982095,129.56049060821533
muon,0.04743,0,False,3000,1.5039567947387695,1.5168075621128083,0.22874975796540578,129.43850350379944
muon,0.1125,0,False,3000,2.1615153789520263,2.1728166341781616,4.38253991304338,129.737446308136
muon,0.2667,0,False,3000,2.475958025455475,2.495271682739258,5.4361278456846875,129.56509256362915
muon,0.6325,0,False,3000,2.595378041267395,2.595378041267395,4.399622580642501,128.46352815628052
lamb,9.487e-05,0,False,3000,2.945576000213623,2.947489583492279,0.5612022037506104,96.861976146698
lamb,0.0002276,0,False,3000,2.5267148852348327,2.5267148852348327,0.3517360897262891,96.423819065094
lamb,0.0005335,0,False,3000,2.289135217666626,2.289135217666626,0.42579241827627023,96.42266416549683
lamb,0.001265,0,False,3000,1.8940855264663696,1.8940855264663696,0.6726827394465605,96.6261396408081
lamb,0.003,0,False,3000,1.6260949909687041,1.6269879519939423,0.7325529651592175,97.23097515106201
lamb,0.007114,0,False,3000,1.539541906118393,1.5574307441711426,0.49560739601155124,96.5234169960022
lamb,0.01687,0,False,3000,1.550124740600586,1.608051097393036,0.28523148345947263,96.57764983177185
lamb,0.04,0,False,3000,1.55092094540596,1.6435682713985442,0.17944307496398687,96.42144012451172
lamb,0.09487,0,False,3000,1.9478883802890778,2.7689725160598755,762140.4489071573,96.42988610267639
